4980	3
56	32	25
63	37	28
87	51	37
106	63	47
115	69	51
116	69	52
110	65	49
103	61	46
98	58	44
98	58	43
100	60	44
101	61	45
102	61	45
101	61	45
99	59	43
94	56	41
88	53	39
83	50	37
79	48	36
77	47	35
76	46	34
75	46	34
76	46	34
77	46	34
78	47	35
78	47	34
77	47	34
76	46	35
75	46	35
75	46	36
77	48	37
81	50	39
88	53	42
94	57	45
100	60	47
105	63	49
108	66	51
110	67	53
111	68	53
109	67	52
107	66	51
104	64	50
101	61	48
98	60	46
96	58	45
93	57	44
91	56	43
90	55	43
63	40	31
67	43	32
71	45	34
74	47	35
77	48	36
80	49	37
82	51	38
85	52	38
86	53	39
88	53	39
87	53	38
86	52	37
84	50	37
83	49	36
82	48	35
80	47	34
78	46	34
77	45	34
78	45	34
79	43	35
78	41	35
74	39	34
63	33	29
48	26	24
52	28	25
60	33	28
69	37	31
80	44	35
88	51	40
88	53	41
85	52	40
81	51	39
77	49	37
74	45	35
69	41	32
60	35	28
44	27	22
45	27	22
75	44	33
98	58	43
109	65	48
115	69	51
116	70	52
112	67	50
109	65	49
106	64	47
105	63	47
105	63	46
105	63	46
104	63	46
102	61	45
99	59	43
93	55	40
89	53	38
85	51	37
83	50	36
82	49	36
81	49	36
81	49	36
82	49	36
82	49	36
82	49	36
81	49	36
80	48	36
80	49	37
81	49	37
84	51	39
88	53	41
92	56	43
97	59	45
102	61	48
105	63	50
109	66	51
110	67	52
110	67	53
109	67	52
107	65	51
104	64	50
101	62	48
98	60	46
96	58	45
94	57	44
92	56	44
91	55	43
89	55	43
87	54	42
50	32	25
67	42	32
70	44	33
73	46	35
76	47	35
79	49	36
81	50	37
84	51	38
86	52	39
87	53	39
87	52	39
85	51	38
84	50	37
82	48	36
80	47	35
78	46	34
76	45	33
75	44	33
76	43	33
79	43	34
81	42	35
79	41	36
67	35	31
49	26	24
51	28	25
60	32	28
67	36	30
76	41	33
86	48	38
88	52	40
85	51	39
81	50	38
78	48	37
73	45	35
68	41	33
58	35	28
44	28	22
48	30	24
74	44	33
93	55	41
105	62	47
113	68	50
117	70	53
119	72	53
118	72	53
117	71	52
114	70	51
112	68	49
110	67	49
109	66	48
107	65	47
105	63	45
102	60	44
98	58	42
95	56	41
94	56	40
91	55	40
90	54	39
89	53	39
88	53	39
87	53	39
87	52	38
86	52	38
85	51	38
85	51	38
87	52	39
89	53	41
92	55	42
95	57	44
99	59	46
103	62	48
106	64	49
108	66	51
110	67	52
110	67	52
108	66	52
106	65	50
104	64	49
101	62	48
98	60	46
96	59	46
95	57	45
93	57	44
92	56	43
58	37	28
63	40	30
66	41	31
70	44	33
72	45	34
75	47	35
77	48	36
80	49	37
83	51	38
85	52	39
87	52	39
87	52	39
85	51	38
84	49	37
81	47	35
78	46	34
76	45	33
74	43	32
73	42	32
75	42	32
79	42	34
83	42	36
84	43	38
71	36	32
51	27	24
52	28	25
60	32	27
66	35	30
74	39	32
84	46	37
88	51	40
86	51	39
82	50	39
78	48	37
73	45	35
67	41	32
60	36	28
54	33	26
63	37	29
82	49	36
95	56	42
105	62	46
113	67	50
119	71	53
123	74	56
125	76	57
125	77	57
125	77	57
123	75	55
120	73	54
118	72	53
116	71	52
114	69	51
112	68	50
110	66	48
108	65	47
106	64	46
102	62	45
100	61	44
97	59	43
95	58	42
93	56	41
91	55	40
89	54	40
89	53	40
89	53	40
90	54	41
92	55	42
94	56	43
97	58	45
100	60	46
103	62	48
106	64	49
108	65	51
109	66	52
109	67	52
108	66	51
106	65	50
104	63	49
101	61	47
98	59	46
96	59	46
96	58	45
94	57	44
92	56	44
91	56	44
90	55	43
57	36	28
63	40	30
66	41	32
69	43	33
72	45	34
75	46	35
77	47	35
79	48	36
82	50	37
84	51	38
85	51	39
86	51	38
85	50	38
83	48	36
79	46	35
76	45	33
74	43	32
71	41	31
71	40	31
74	41	32
80	42	34
85	42	37
86	44	39
71	36	32
52	27	25
53	28	25
60	32	27
66	34	29
73	38	32
84	45	37
88	50	39
86	50	39
82	50	39
79	48	38
73	45	35
67	40	32
62	37	29
65	39	29
77	46	34
87	51	38
97	56	42
106	61	46
115	67	52
122	73	56
128	77	59
131	80	62
134	82	64
135	85	66
135	85	66
132	83	64
130	82	62
128	80	61
126	79	60
124	77	58
123	76	57
120	74	56
118	73	54
115	71	53
110	68	51
106	65	48
101	61	46
97	58	44
94	56	42
92	55	41
91	55	41
91	55	41
92	55	41
93	56	42
95	57	44
98	58	45
101	60	47
104	62	48
106	64	50
108	65	51
110	66	52
109	66	52
108	66	52
107	65	51
105	64	49
102	62	48
100	61	47
98	60	46
97	59	45
95	58	45
