4980	3
-51.5324	10.1283	12.0565
-51.504	7.80438	12.1276
-51.4732	5.46259	11.9843
-51.4374	3.10172	11.8639
-51.3947	0.720198	11.5509
-51.3433	-1.68395	11.2613
-51.2822	-4.11299	10.9012
-51.2113	-6.56937	10.4252
-51.1309	-9.05552	9.87027
-51.0423	-11.5738	9.23585
-50.9474	-14.1265	8.62496
-50.8491	-16.7159	8.03079
-50.7515	-19.3444	7.29703
-50.6602	-22.0137	6.74198
-50.5828	-24.7243	6.36496
-50.5291	-27.4712	5.70702
-50.5098	-30.2383	5.14823
-50.532	-32.984	4.35257
-50.6029	-35.599	4.29574
-50.6799	-38.0323	6.55074
-50.6976	-40.3093	9.43502
-50.6429	-42.4277	11.048
-50.5317	-44.3984	11.2361
-50.3867	-46.2467	11.0994
-50.2264	-48.0084	10.9722
-50.0644	-49.724	10.6338
-49.9099	-51.4324	10.2629
-49.7695	-53.1649	9.87189
-49.6486	-54.9374	9.53467
-49.5497	-56.7541	9.6957
-49.4708	-58.6278	10.1195
-49.4065	-60.5626	10.6834
-49.1974	-66.6596	9.74635
-49.1131	-68.7488	8.59844
-49.0305	-70.8467	7.34282
-48.9506	-72.9483	6.01856
-48.8738	-75.0512	5.09599
-47.651	79.2885	-20.625
-47.6993	77.1664	-16.1805
-47.7539	75.0375	-12.7775
-47.8189	72.8967	-10.2205
-47.8975	70.7397	-8.23239
-47.9922	68.5637	-6.45938
-48.1041	66.3668	-4.77935
-48.2334	64.1488	-3.41348
-48.3792	61.9104	-2.03649
-48.5389	59.6541	-0.708426
-48.7088	57.3834	0.5955
-48.8842	55.1029	1.65329
-49.0592	52.8176	2.79534
-49.2273	50.5329	3.63679
-49.382	48.254	4.20791
-49.517	45.9852	4.91894
-49.6272	43.7298	5.5619
-49.709	41.4896	6.21388
-49.7605	39.2645	6.79716
-49.7824	37.0531	7.3383
-49.7771	34.8524	7.88968
-49.7487	32.6583	8.56683
-49.7023	30.4662	9.16307
-49.6437	28.2716	9.77675
-49.5785	26.0698	10.398
